회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,매입채무,당기순이익,매출액,판매비와 관리비,매출원가,금융비용
(주)DB하이텍,990,2011-12-01,1199044.0,794705.0,279726.0,890982.0,308062.0,77113.0,23196.334,-44338.0,132656.0,33811.0,128744.0,11864.0
(주)DB하이텍,990,2012-12-01,1157755.0,555433.0,309144.0,866862.0,290893.0,79262.0,17740.927,-21137.0,140682.0,26256.0,127269.0,13321.0
(주)DB하이텍,990,2013-12-01,1058392.0,476868.0,222961.0,853635.0,204757.0,72378.0,29717.748,-41940.0,106475.0,25042.0,97315.0,16526.0
(주)DB하이텍,990,2014-12-01,984877.0,376437.0,247582.0,864174.0,120703.0,69180.0,36235.325,-18772.0,157539.0,22435.0,112928.0,22182.0
(주)DB하이텍,990,2015-12-01,984644.0,244045.0,337757.0,730586.0,254057.0,83460.0,44271.64,8926.0,181512.0,31114.0,120255.0,13318.0
(주)DB하이텍,990,2016-12-01,986789.0,274231.0,368924.0,644871.0,341917.0,76345.0,44199.479,12381.0,200996.0,34247.0,125043.0,10872.0
(주)DB하이텍,990,2017-12-01,993951.0,145225.0,353663.0,538153.0,455798.0,75019.0,33883.223,45905.0,150694.0,28788.0,108563.0,5161.0
(주)DB하이텍,990,2018-12-01,1066534.0,156796.0,383379.0,508142.0,558392.0,42892.0,36469.258,17594.0,173033.0,27783.0,119447.0,4593.0
(주)DB하이텍,990,2019-12-01,1088890.0,219716.0,426263.0,444239.0,644651.0,51838.0,30645.243,12503.0,212031.0,28887.0,135304.0,4271.0
(주)DB하이텍,990,2020-12-01,1178581.0,261704.0,459208.0,383997.0,794585.0,51849.0,36813.081,13566.0,227819.0,33554.0,163862.0,5312.0
(주)DB하이텍,990,2021-12-01,1549938.0,335337.0,815162.0,443888.0,1106050.0,66017.0,44247.176,117372.0,367855.0,37292.0,192417.0,1432.0
(주)DB하이텍,990,2022-12-01,2122700.0,404354.0,1327724.0,484416.0,1638284.0,73769.0,48542.143,68380.0,397141.0,49745.0,193748.0,4950.0
(주)HJ중공업,97230,2011-12-01,7036680.0,2482598.0,2391530.0,5169832.0,1866848.0,360584.0,214421.0,-69794.0,755007.0,43368.0,709156.0,44508.0
(주)HJ중공업,97230,2012-12-01,6585093.0,2448324.0,2274211.0,4869577.0,1715516.0,223809.0,247973.0,33084.0,717339.0,44731.0,649821.0,87254.0
(주)HJ중공업,97230,2013-12-01,6683379.0,3284862.0,2788908.0,5044381.0,1638998.0,601781.0,228311.0,-98135.0,662175.0,40119.0,727551.0,51917.0
(주)HJ중공업,97230,2014-12-01,6470284.0,2843001.0,2647534.0,4897208.0,1573076.0,655829.0,292809.0,-105684.0,712262.0,31604.0,729102.0,68562.0
(주)HJ중공업,97230,2015-12-01,5914637.0,3430218.0,2429499.0,4546048.0,1368589.0,873978.0,352916.0,-118572.0,746289.0,61656.0,757795.0,32381.0
