회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,매입채무,당기순이익,매출액,판매비와 관리비,매출원가,금융비용
(주)DB하이텍,990,2011-06-01,1352263.0,577954.0,427809.0,977334.0,374930.0,80996.0,28740559.0,-8434.0,149627.0,33255.0,115310.0,14719.0
(주)DB하이텍,990,2012-06-01,1203348.0,566481.0,321451.0,920387.0,282960.0,84859.0,28195584.0,-7333.0,157485.0,30164.0,122740.0,11689.0
(주)DB하이텍,990,2013-06-01,1163972.0,528081.0,283769.0,915512.0,248460.0,99709.0,42274287.0,3189.0,132479.0,25806.0,94183.0,18192.0
(주)DB하이텍,990,2014-06-01,1046430.0,495954.0,239662.0,867594.0,178836.0,76199.0,37879822.0,4336.0,143736.0,22960.0,110661.0,15726.0
(주)DB하이텍,990,2015-06-01,1034293.0,407209.0,278242.0,793354.0,240939.0,90955.0,40109881.0,27015.0,151346.0,23886.0,100007.0,15931.0
(주)DB하이텍,990,2016-06-01,986416.0,168077.0,284739.0,651950.0,334465.0,71897.0,42667942.0,29573.0,190051.0,29889.0,116093.0,11103.0
(주)DB하이텍,990,2017-06-01,991637.0,131252.0,333217.0,572178.0,419459.0,84690.0,36113644.0,26932.0,174683.0,28669.0,101503.0,20712.0
(주)DB하이텍,990,2018-06-01,1034406.0,174782.0,401861.0,541387.0,493018.0,39645.0,36195496.0,44603.0,174061.0,25684.0,114552.0,4566.0
(주)DB하이텍,990,2019-06-01,1120980.0,168927.0,446816.0,543623.0,577357.0,49855.0,34599497.0,33502.0,213485.0,32703.0,131553.0,5945.0
(주)DB하이텍,990,2020-06-01,1123105.0,258247.0,395808.0,383174.0,739932.0,54794.0,34589182.0,54592.0,241651.0,28028.0,136637.0,3582.0
(주)DB하이텍,990,2021-06-01,1248286.0,245312.0,536711.0,360369.0,887916.0,51813.0,38554530.0,58947.0,274651.0,32832.0,160500.0,1433.0
(주)DB하이텍,990,2022-06-01,1812127.0,335818.0,1059406.0,430049.0,1382078.0,73552.0,50554227.0,136995.0,435742.0,36784.0,185836.0,4031.0
(주)HJ중공업,97230,2011-06-01,6110806.0,2332504.0,2789067.0,4172551.0,1938255.0,137598.0,309833000.0,-28514.0,511789.0,22900.0,534698.0,56251.0
(주)HJ중공업,97230,2012-06-01,5927061.0,1929044.0,2241405.0,4069194.0,1857867.0,176283.0,211286000.0,-62174.0,286571.0,18263.0,310929.0,29175.0
(주)HJ중공업,97230,2013-06-01,5671272.0,2236896.0,2123903.0,3690850.0,1980422.0,524948.0,163131000.0,11406.0,427165.0,26921.0,338001.0,54331.0
(주)HJ중공업,97230,2014-06-01,5728326.0,2411642.0,1968377.0,4008042.0,1720284.0,466706.0,319214000.0,-56224.0,325580.0,26896.0,340700.0,44048.0
(주)HJ중공업,97230,2015-06-01,5152233.0,2104254.0,1853533.0,3475302.0,1676931.0,735244.0,291245000.0,-53102.0,277954.0,19922.0,311082.0,35567.0
(주)HJ중공업,97230,2016-06-01,4202093.0,1505253.0,1391639.0,2962449.0,1239644.0,514295.0,178045000.0,83280.0,349393.0,13471.0,257170.0,23683.0
(주)HJ중공업,97230,2017-06-01,3714958.0,1553304.0,1776933.0,2972770.0,742188.0,448415.0,149744000.0,-62574.0,160100.0,26030.0,98902.0,18424.0
(주)HJ중공업,97230,2018-06-01,3217523.0,2481112.0,1291184.0,2673631.0,543892.0,575721.0,181822000.0,-31456.0,285888.0,5753.0,250853.0,28110.0
(주)HJ중공업,97230,2019-06-01,2309334.0,1183905.0,1219018.0,2071685.0,237649.0,477058.0,186569000.0,-318054.0,363736.0,26745.0,341242.0,18517.0
(주)HJ중공업,97230,2020-06-01,2283724.0,1677692.0,1147674.0,1973535.0,310189.0,204128.0,176980000.0,68444.0,489643.0,17182.0,472490.0,13949.0
(주)HJ중공업,97230,2021-06-01,2134878.0,1032295.0,995026.0,1878324.0,256554.0,166708.0,199119000.0,-22174.0,440671.0,23424.0,416302.0,11184.0
(주)HJ중공업,97230,2022-06-01,2401483.0,890113.0,905456.0,1993810.0,407673.0,181122.0,185279000.0,-14155.0,445058.0,20968.0,421906.0,17508.0
(주)MH에탄올,23150,2011-06-01,139667.0,72031.0,39712.0,84936.0,54731.0,5069.0,2425396.0,1361.0,11770.0,793.0,8472.0,1471.0
(주)MH에탄올,23150,2012-06-01,137032.0,66739.0,25624.0,79743.0,57289.0,6513.0,1487617.0,664.0,11333.0,852.0,9082.0,886.0
(주)MH에탄올,23150,2013-06-01,144697.0,69973.0,26304.0,83111.0,61586.0,7951.0,0.0,3961.0,4525.0,525.0,-946.0,607.0
(주)MH에탄올,23150,2014-06-01,88925.0,34641.0,29112.0,35774.0,53151.0,9090.0,0.0,8768.0,12131.0,677.0,8049.0,420.0
(주)MH에탄올,23150,2015-06-01,84923.0,28584.0,28190.0,29349.0,55573.0,5828.0,0.0,2958.0,13170.0,567.0,8567.0,226.0
(주)MH에탄올,23150,2016-06-01,78542.0,17576.0,22256.0,18128.0,60415.0,7188.0,0.0,3088.0,12842.0,706.0,8120.0,107.0
(주)MH에탄올,23150,2017-06-01,77482.0,10298.0,23238.0,12492.0,64990.0,8165.0,0.0,1952.0,12353.0,737.0,8588.0,42.0
(주)MH에탄올,23150,2018-06-01,108377.0,15170.0,18193.0,42426.0,65951.0,5853.0,0.0,4200.0,8416.0,-2263.0,4646.0,-3482.0
(주)MH에탄올,23150,2019-06-01,111392.0,14385.0,19572.0,42002.0,69390.0,7502.0,0.0,2933.0,6928.0,-2007.0,5024.0,-1787.0
(주)MH에탄올,23150,2020-06-01,100966.0,15625.0,18859.0,40932.0,60034.0,5890.0,0.0,4007.0,8551.0,-7678.0,6856.0,-2098.0
(주)MH에탄올,23150,2021-06-01,99863.0,21754.0,21233.0,41672.0,58191.0,9785.0,0.0,1199.0,1903.0,-2543.0,4772.0,-2698.0
(주)MH에탄올,23150,2022-06-01,101449.0,42049.0,21738.0,44601.0,56848.0,10339.0,0.0,-559.0,1853.0,-3412.0,6827.0,-2422.0
(주)SH에너지화학,2360,2011-06-01,97118.0,29466.0,42552.0,34488.0,62629.0,10733.0,1753678.0,1096.0,44703.0,1828.0,41681.0,742.0
(주)SH에너지화학,2360,2012-06-01,105690.0,34411.0,50493.0,40361.0,65329.0,13267.0,4945813.0,1156.0,50959.0,2484.0,47401.0,565.0
(주)SH에너지화학,2360,2013-06-01,106819.0,30991.0,53730.0,39263.0,67555.0,6499.0,4197707.0,1808.0,61296.0,1321.0,57644.0,1031.0
(주)SH에너지화학,2360,2014-06-01,113405.0,34608.0,62311.0,39289.0,74116.0,13647.0,4450518.0,4189.0,59388.0,1762.0,51581.0,1089.0
(주)SH에너지화학,2360,2015-06-01,113598.0,20712.0,57433.0,25861.0,87737.0,15478.0,1147609.0,4991.0,57054.0,2207.0,48367.0,233.0
(주)SH에너지화학,2360,2016-06-01,113951.0,12370.0,69059.0,19210.0,94741.0,11656.0,1433626.0,4648.0,49804.0,1612.0,42380.0,73.0
(주)SH에너지화학,2360,2017-06-01,120990.0,9172.0,79087.0,17393.0,103597.0,22019.0,1374300.0,4590.0,51869.0,1892.0,44384.0,-104.0
(주)SH에너지화학,2360,2018-06-01,122762.0,7869.0,79298.0,17519.0,105243.0,19634.0,1469139.0,1966.0,51828.0,1838.0,47956.0,18.0
(주)SH에너지화학,2360,2019-06-01,121062.0,9631.0,73773.0,20141.0,100922.0,13610.0,14489.0,-517.0,35949.0,1965.0,35059.0,158.0
(주)SH에너지화학,2360,2020-06-01,116715.0,7121.0,64528.0,24883.0,91832.0,8519.0,1005563.0,-3422.0,18085.0,1441.0,19805.0,296.0
(주)SH에너지화학,2360,2021-06-01,117604.0,7777.0,67608.0,27909.0,89695.0,10308.0,1238401.0,-267.0,30276.0,1928.0,28835.0,237.0
(주)SH에너지화학,2360,2022-06-01,120029.0,16474.0,69410.0,28677.0,91352.0,12649.0,1877116.0,-612.0,38451.0,2121.0,37643.0,455.0
(주)SIMPAC,9160,2011-06-01,291454.0,130809.0,156668.0,142284.0,149169.0,28834.0,41968915.0,7393.0,58438.0,4918.0,44245.0,498.0
(주)SIMPAC,9160,2012-06-01,302218.0,112201.0,149949.0,134928.0,167290.0,29556.0,37662090.0,7659.0,59281.0,4852.0,46888.0,744.0
(주)SIMPAC,9160,2013-06-01,309951.0,100930.0,145643.0,122977.0,186975.0,28382.0,33387243.0,3829.0,44994.0,4272.0,35276.0,1307.0
(주)SIMPAC,9160,2014-06-01,367843.0,147301.0,123858.0,163055.0,204787.0,41771.0,0.0,-23326.0,56585.0,5740.0,46843.0,989.0
(주)SIMPAC,9160,2015-06-01,359142.0,138359.0,129824.0,145948.0,213194.0,40680.0,41084844.0,8206.0,49727.0,3380.0,38617.0,114.0
(주)SIMPAC,9160,2016-06-01,369549.0,138888.0,140331.0,144821.0,224728.0,35436.0,37391184.0,4336.0,36711.0,2110.0,30657.0,-643.0
