회사명,거래소코드,회계년도,순운전자본비율점수,부채비율점수,재고자산증가율점수,총자산증가율점수,매입채무회전기간점수,매출액순이익률점수,자기자본순이익률점수,금융비용 대 총비용비율점수,총자산사업이익률점수,총자산투자효율점수,분기별 기업 위험 점수,회계년,회계달
(주)지티지웰니스,219750,2022-12-01,9.542425094393248,10.0,0.9030899869919436,8.450980400142567,6.225210003069149,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,68.92381790171297,2022,12
(주)엘앤케이바이오메드,156100,2022-12-01,8.588182584953923,10.0,2.1072099696478683,7.605882360128311,6.225210003069149,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,68.32859733491532,2022,12
비케이탑스(주),30790,2022-12-01,9.542425094393248,10.0,0.9030899869919436,7.605882360128311,6.225210003069149,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,68.07871986169872,2022,12
(주)프로스테믹스,203690,2022-12-01,9.542425094393248,10.0,2.709269960975831,6.760784320114055,4.668907502301861,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,67.48349929490105,2022,12
(주)옵트론텍,82210,2022-12-01,9.542425094393248,10.0,0.9030899869919436,7.605882360128311,5.447058752685505,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,67.30056861131507,2022,12
(주)엔터파트너즈,58450,2022-12-01,7.633940075514599,9.0,3.010299956639812,8.450980400142567,6.225210003069149,6.020599913279624,6.989700043360188,3.8169700377573,6.989700043360188,9.030899869919436,67.16830034304286,2022,12
일동홀딩스(주),230,2022-12-01,9.542425094393248,10.0,2.1072099696478683,6.760784320114055,4.668907502301861,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,66.88143930357309,2022,12
일동제약(주),249420,2022-12-01,8.588182584953923,10.0,2.1072099696478683,7.605882360128311,4.668907502301861,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,66.77229483414803,2022,12
금호전기(주),1210,2022-12-01,9.542425094393248,10.0,1.2041199826559248,8.450980400142567,5.447058752685505,5.418539921951662,6.989700043360188,4.294091292476962,6.29073003902417,9.030899869919436,66.66854539660966,2022,12
(주)피플바이오,304840,2022-12-01,8.588182584953923,10.0,2.709269960975831,7.605882360128311,3.8907562519182175,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,66.59620357509235,2022,12
(주)싸이토젠,217330,2022-12-01,9.542425094393248,10.0,0.0,8.450980400142567,4.668907502301861,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,66.46442541395373,2022,12
(주)에스디생명공학,217480,2022-12-01,9.542425094393248,10.0,0.6020599913279624,8.450980400142567,3.8907562519182175,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,66.28833415489805,2022,12
(주)바이브컴퍼니,301300,2022-12-01,9.542425094393248,10.0,0.3010299956639812,6.760784320114055,6.225210003069149,6.020599913279624,6.989700043360188,4.294091292476962,6.989700043360188,9.030899869919436,66.15444057563683,2022,12
(주)씨에스에이코스믹,83660,2022-12-01,8.588182584953923,10.0,1.806179973983887,8.450980400142567,6.225210003069149,5.418539921951662,6.989700043360188,2.385606273598312,6.989700043360188,9.030899869919436,65.88499911433931,2022,12
대한그린파워(주),60900,2022-12-01,7.633940075514599,8.0,3.010299956639812,8.450980400142567,4.668907502301861,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,65.5662403517149,2022,12
(주)제넨바이오,72520,2022-12-01,9.542425094393248,8.0,2.709269960975831,6.760784320114055,4.668907502301861,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,65.48349929490105,2022,12
(주)베셀,177350,2022-12-01,9.542425094393248,9.0,2.1072099696478683,7.605882360128311,3.8907562519182175,6.020599913279624,6.989700043360188,4.294091292476962,6.989700043360188,9.030899869919436,65.47126483848405,2022,12
(주)코디,80530,2022-12-01,9.542425094393248,9.0,2.4082399653118496,7.605882360128311,3.1126050015345745,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,65.47126483848405,2022,12
(주)파인디앤씨,49120,2022-12-01,9.542425094393248,10.0,2.4082399653118496,7.605882360128311,3.1126050015345745,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,7.224719895935548,64.66508486450016,2022,12
(주)삼기,122350,2022-12-01,8.588182584953923,10.0,2.4082399653118496,7.605882360128311,5.447058752685505,6.020599913279624,6.989700043360188,3.339848783037637,6.989700043360188,7.224719895935548,64.61393234205278,2022,12
일정실업(주),8500,2022-12-01,9.542425094393248,10.0,0.6020599913279624,8.450980400142567,3.1126050015345745,6.020599913279624,6.989700043360188,3.8169700377573,6.989700043360188,9.030899869919436,64.55594039507508,2022,12
애니젠(주),196300,2022-12-01,9.542425094393248,7.0,2.709269960975831,7.605882360128311,3.8907562519182175,6.020599913279624,6.989700043360188,4.771212547196624,6.989700043360188,9.030899869919436,64.55044608453167,2022,12
(주)비엘팜텍,65170,2022-12-01,9.542425094393248,9.0,2.709269960975831,7.605882360128311,2.3344537511509307,6.020599913279624,6.989700043360188,4.294091292476962,6.989700043360188,9.030899869919436,64.51702232904472,2022,12
(주)누리플랜,69140,2022-12-01,8.588182584953923,10.0,2.709269960975831,4.225490200071284,5.447058752685505,6.020599913279624,6.989700043360188,4.294091292476962,6.989700043360188,9.030899869919436,64.29499266108294,2022,12
