회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),유동부채(*)(요약)(IFRS)(백만원),유동자산(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS)(백만원),자본(*)(요약)(IFRS)(백만원),재고자산(요약)(IFRS)(백만원),당기순이익(총포괄손익)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS)(백만원),매출원가(요약)(IFRS)(백만원),매입채무(IFRS)(천원),금융비용(IFRS)(천원),금융원가(요약)(IFRS)(백만원)
(주)강원에너지,114190,2014/03,66124,15289,55260,15295,50830,1217,987,11691,2255,8828,5888622,0,196
(주)강원에너지,114190,2015/03,62848,10795,44338,10806,52043,1254,-810,11534,1886,9515,5714974,0,1
(주)강원에너지,114190,2016/03,77078,21475,54922,21504,55574,1326,252,14613,1993,12413,8439684,0,373
(주)강원에너지,114190,2017/03,66153,12954,45239,12961,53192,315,-637,11631,1415,10094,4643222,0,66
(주)강원에너지,114190,2018/03,86975,36067,65070,40146,46829,584,-1037,24596,1283,23991,11367717,0,459
(주)강원에너지,114190,2019/03,90178,38812,63899,39300,50878,544,-1218,8415,1310,8371,5566813,0,674
(주)강원에너지,114190,2020/03,60831,25311,38270,30386,30445,872,-1297,10057,2437,9490,5564189,0,875
(주)강원에너지,114190,2021/03,33903,11068,22295,15225,18679,609,1485,11009,582,10193,2818155,0,126
(주)강원에너지,114190,2022/03,45759,15607,36866,16682,29077,710,476,14791,725,13494,3189850,0,336
(주)고려시멘트,198440,2015/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2018/03,117474,27821,40092,42933,74541,4855,-1739,16169,1942,16268,6394207,0,95
(주)고려시멘트,198440,2019/03,133789,38311,55544,49599,84190,4538,-1200,20177,2304,19291,7115277,0,122
(주)고려시멘트,198440,2020/03,115431,17190,34215,29364,86067,6596,-1895,14320,1144,15660,3584439,0,67
(주)고려시멘트,198440,2021/03,112743,9084,36265,21680,91063,2757,-805,14897,1058,14990,3185324,0,11
(주)고려시멘트,198440,2022/03,141402,8040,48997,26272,115131,10696,-1542,14197,584,15133,2545866,0,11
(주)고바이오랩,348150,2021/03,56016,1078,54941,1156,54860,324,-2570,714,3377,153,253183,0,3
(주)고바이오랩,348150,2022/03,104243,5750,91966,19648,84594,413,-3305,1052,3745,283,135794,0,371
(주)고영테크놀러지,098460,2011/03,76810,16555,52180,18944,57865,10499,4569,20196,5899,8584,7145989,0,699
(주)고영테크놀러지,098460,2012/03,93600,18503,68010,21290,72309,16110,3422,19057,6813,8228,9624643,0,101
(주)고영테크놀러지,098460,2013/03,109455,19192,82162,23897,85557,17806,2940,20816,8504,9861,0,0,28
(주)고영테크놀러지,098460,2014/03,130116,22744,101531,28034,102082,17432,4871,31630,10143,15965,0,0,23
(주)고영테크놀러지,098460,2015/03,147448,24410,112397,29732,117716,14795,2975,28651,11189,12539,10322137,0,412
(주)고영테크놀러지,098460,2016/03,170384,28281,135168,35059,135325,14149,5465,34665,14561,13995,11101613,0,422
(주)고영테크놀러지,098460,2017/03,191491,29401,152184,39886,151606,13681,-671,38235,17423,14956,11872772,0,1690
(주)고영테크놀러지,098460,2018/03,259801,46358,211905,58230,201571,16461,8026,46381,18799,18254,16874514,0,151
(주)고영테크놀러지,098460,2019/03,280288,41211,229267,55176,225112,20146,7999,45328,19791,17450,11405892,0,16
(주)고영테크놀러지,098460,2020/03,316393,39715,238918,60732,255661,24997,10827,43296,20516,17291,10295218,0,55
(주)고영테크놀러지,098460,2021/03,323787,45237,251597,67209,256578,28189,11076,54184,23448,20834,15153729,0,37
(주)고영테크놀러지,098460,2022/03,376530,55049,288252,92908,283622,31972,10561,60457,25885,23516,16709768,0,165
(주)골드앤에스,035290,2011/03,45900,17166,18220,23214,22686,3207,382,13016,3397,9145,1224527,0,246
(주)골드앤에스,035290,2012/03,47911,21666,24292,24182,23729,2872,404,12316,3196,8533,1437766,0,290
(주)골드앤에스,035290,2013/03,50668,18826,25202,24449,26219,3273,36,11339,3528,7573,1854854,0,247
(주)골드앤에스,035290,2014/03,35685,23568,19842,26016,9669,3437,-118,8873,2819,5980,1734107,0,271
(주)골드앤에스,035290,2015/03,26967,13442,13365,17323,9644,3023,-662,5979,2144,4263,639720,0,288
(주)골드앤에스,035290,2016/03,20126,5382,12188,6077,14049,2613,150,4775,1438,3243,526833,0,45
(주)골드앤에스,035290,2017/03,18323,3525,8968,4278,14046,1911,90,3983,1464,2410,704069,0,11
(주)골드앤에스,035290,2018/03,18546,3686,14450,5802,12744,1105,-1076,2474,2483,1232,394745,0,64
(주)골드앤에스,035290,2019/03,40320,27606,15664,28588,11732,1362,-3202,1882,3283,888,158103,0,918
(주)골드앤에스,035290,2020/03,20548,19768,5099,19944,604,1018,-487,1506,1190,653,32185,0,252
(주)골드앤에스,035290,2021/03,25821,3744,15318,10340,15481,513,-485,1341,946,367,83531,0,92
(주)골드앤에스,035290,2022/03,26544,3598,12787,10971,15574,448,307,4412,515,3598,260721,0,109
(주)골프존,215000,2016/03,181894,74160,80454,91864,90030,2105,10057,52264,22197,16911,2177174,0,192
(주)골프존,215000,2017/03,189699,63311,93034,72560,117139,9693,11288,52496,20367,16867,2349322,0,178
(주)골프존,215000,2018/03,258832,63334,158866,74700,184132,12983,8415,41158,17288,13095,2565468,0,411
(주)골프존,215000,2019/03,288459,69947,137845,90353,198106,8787,12323,58466,21515,20981,3046269,0,220
(주)골프존,215000,2020/03,323051,70681,81089,118826,204225,8826,11551,68268,26182,27140,4534986,0,276
(주)골프존,215000,2021/03,372790,92418,134510,138496,234294,9715,21235,95263,29422,37489,6935056,0,465
(주)골프존,215000,2022/03,484185,129736,222482,175373,308811,20918,41522,150099,35070,60755,9811552,0,332
(주)골프존뉴딘홀딩스,121440,2012/03,392830,29032,257171,30225,362605,6606,24003,60909,18876,25872,8594840,0,304
(주)골프존뉴딘홀딩스,121440,2013/03,560258,119974,303634,121475,438784,20969,14517,79433,25929,34260,10876626,0,2255
(주)골프존뉴딘홀딩스,121440,2014/03,582902,151010,274112,153461,429441,35576,18024,109508,26819,45292,14686304,0,4443
(주)골프존뉴딘홀딩스,121440,2015/03,460868,60489,127573,63301,397567,117,895118,12369,9180,8607,0,0,273
(주)골프존뉴딘홀딩스,121440,2016/03,611495,39347,49501,80749,530747,0,3810,10414,7723,181,0,0,321
(주)골프존뉴딘홀딩스,121440,2017/03,562843,19587,57295,61759,501084,0,-672,7690,7880,319,0,0,2178
(주)골프존뉴딘홀딩스,121440,2018/03,566780,87860,101243,90228,476551,0,1480,7870,6300,394,0,0,595
(주)골프존뉴딘홀딩스,121440,2019/03,563202,42419,46265,89842,473360,0,-6103,5613,5197,0,0,0,472
(주)골프존뉴딘홀딩스,121440,2020/03,540919,20464,38002,95331,445588,121,150,7986,4043,2224,0,0,2615
(주)골프존뉴딘홀딩스,121440,2021/03,568341,32390,66499,98260,470081,145,6752,12578,3767,1091,0,0,1228
(주)골프존뉴딘홀딩스,121440,2022/03,718199,57375,19259,111438,606761,128,14684,23128,4009,2818,0,0,455
(주)공구우먼,366030,2022/03,54591,5956,41377,6340,48251,4854,1254,10008,3013,5453,28034,0,6
(주)광림,014200,2011/03,99743,38654,59548,44913,54830,34654,237,26543,3687,21471,14824200,0,513
(주)광림,014200,2012/03,88467,26273,50938,31842,56625,27401,-239,17618,2723,15611,10939987,0,225
(주)광림,014200,2013/03,95009,25252,57706,30883,64126,24122,542,21194,2540,18158,0,0,146
(주)광림,014200,2014/03,110519,35950,43115,45853,64665,25305,-132,20108,2844,17275,11810243,0,298
(주)광림,014200,2015/03,118362,41144,49150,52853,65509,26571,-751,20732,3256,18040,8997874,0,279
(주)광림,014200,2016/03,136739,45706,48676,55882,80857,20455,27,20359,2902,17652,8247488,0,489
(주)광림,014200,2017/03,153975,57809,52496,63819,90156,19111,-65,27600,3000,23862,12632200,0,349
(주)광림,014200,2018/03,420370,187613,313885,223561,196809,15846,20251,16127,2689,13623,10082356,0,26219
(주)광림,014200,2019/03,278909,122154,188001,141543,137366,21264,16438,20152,2533,16461,15805101,0,20010
(주)광림,014200,2020/03,174352,105617,60474,112186,62166,20221,1420,20731,2139,17547,11888870,0,19942
(주)광림,014200,2021/03,238650,86850,59134,91426,147225,16716,-870,21443,2358,18337,17510703,0,1480
(주)광림,014200,2022/03,277380,63445,70571,67355,210025,30682,1285,31517,2632,25991,14417814,0,806
(주)광무,029480,2011/03,126979,60645,57488,65578,61402,17109,-334,9656,2987,6178,2793740,0,1077
(주)광무,029480,2012/03,85350,29302,39585,34169,51182,13383,656,10023,3908,6278,4282695,0,493
(주)광무,029480,2013/03,56947,16139,13477,20784,36162,5190,-356,3784,1981,2150,577014,0,387
(주)광무,029480,2014/03,28419,12564,6635,17477,10942,145,-403,1810,1346,586,168505,0,353
(주)광무,029480,2015/03,25079,12193,7047,16888,8191,295,-770,2944,1364,2061,1523516,0,289
(주)광무,029480,2016/03,29225,14398,13488,21298,7927,131,102,6362,912,5191,1873258,0,154
(주)광무,029480,2017/03,27738,11390,10752,19296,8441,195,-514,4990,1059,4176,2538537,0,223
(주)광무,029480,2018/03,24971,9229,11286,11601,13370,148,-793,3600,1132,2832,1481109,0,437
(주)광무,029480,2019/03,22754,10677,9468,13811,8943,513,-851,2934,1247,2314,2287098,0,256
(주)광무,029480,2020/03,47908,24278,24386,26799,21109,568,-995,3950,1507,3446,1285878,0,1451
(주)광무,029480,2021/03,47952,23021,25138,25588,22364,190,-2121,3720,1051,3169,1067698,0,137
(주)광무,029480,2022/03,112982,58762,81491,59906,53077,53,-1379,3004,1087,2580,913826,0,1690
(주)구영테크,053270,2011/03,100753,58471,40908,65027,35726,5667,784,16148,1722,12712,3118033,0,799
(주)구영테크,053270,2012/03,99237,62825,43678,70700,28537,5528,556,16481,1593,13604,9963399,0,1054
(주)구영테크,053270,2013/03,113958,75501,52698,84177,29781,7560,498,17913,1906,14892,8839877,0,1210
(주)구영테크,053270,2014/03,99795,56005,38879,65155,34640,7563,483,18237,2365,15099,7700305,0,756
(주)구영테크,053270,2015/03,104930,53405,43588,63713,41218,8142,300,21419,2654,18138,8019632,0,491
(주)구영테크,053270,2016/03,104292,42247,40979,61270,43021,6760,737,18377,2544,14814,6465430,0,452
(주)구영테크,053270,2017/03,111292,41053,40821,64811,46481,7063,143,19688,2391,16076,7058023,0,581
(주)구영테크,053270,2018/03,140724,46323,46811,94512,46212,9053,1985,16763,2576,14065,6487795,0,559
(주)구영테크,053270,2019/03,154602,55288,52234,96738,57864,10300,726,22078,2774,18736,7368396,0,559
(주)구영테크,053270,2020/03,144825,54775,41235,86111,58713,10051,1299,22511,2821,19094,5964858,0,663
(주)구영테크,053270,2021/03,150289,53913,42773,89367,60922,9798,2336,25862,3225,21346,7699022,0,444
(주)구영테크,053270,2022/03,154640,46232,49339,92259,62381,10856,1232,26209,3506,21662,7247974,0,798
(주)국보디자인,066620,2011/03,75472,31344,52172,32794,42678,254,2578,28421,2230,23550,5312712,0,55
(주)국보디자인,066620,2012/03,92115,38909,69453,40045,52070,0,2419,28796,2250,23675,8972695,0,10
(주)국보디자인,066620,2013/03,99461,39546,77379,40743,58717,0,1904,35210,3047,30710,0,0,19
(주)국보디자인,066620,2014/03,127200,58862,100294,61368,65832,0,2795,41126,2660,34905,0,0,51
(주)국보디자인,066620,2015/03,119878,45797,89562,49644,70234,0,902,33760,3542,29541,10687832,0,29
(주)국보디자인,066620,2016/03,119803,43991,87149,47250,72553,0,2469,33741,2797,27841,10574143,0,3
(주)국보디자인,066620,2017/03,155801,67486,122989,71813,83988,0,4778,61517,3261,51998,14957521,0,21
(주)국보디자인,066620,2018/03,160180,59178,129675,62841,97339,0,4801,54875,3879,45225,14042209,0,0
(주)국보디자인,066620,2019/03,153046,45242,118195,49307,103739,0,2009,35688,3936,29751,12366358,0,0
(주)국보디자인,066620,2020/03,202149,84293,174502,88191,113958,0,4831,64877,3828,57512,22479328,0,1
(주)국보디자인,066620,2021/03,241920,85919,110758,91402,150518,0,4765,66641,4210,55355,22163934,0,2
(주)국보디자인,066620,2022/03,319857,96567,95428,110875,208982,0,5098,75403,5220,63668,24550874,0,12
(주)국순당,043650,2011/03,192522,20121,89748,23599,168924,14678,439,28350,12869,15310,2670108,0,0
(주)국순당,043650,2012/03,192822,15119,73677,19062,173760,13162,1404,29646,11266,17141,2509961,0,0
(주)국순당,043650,2013/03,204830,13649,82878,19020,185811,13300,2018,26637,10295,14827,1715289,0,0
(주)국순당,043650,2014/03,202502,11259,82483,16658,185845,12395,624,21683,9151,13050,1364681,0,0
(주)국순당,043650,2015/03,205766,14440,82148,19991,185775,11775,-214,20903,8693,12559,1835189,0,457
(주)국순당,043650,2016/03,202193,10344,80897,16928,185266,11554,24,16126,7813,10202,1229221,0,0
(주)국순당,043650,2017/03,197833,8673,66024,16143,181690,9629,-472,15208,7066,9318,1129155,0,0
(주)국순당,043650,2018/03,219437,13743,84756,20317,199120,9831,10380,13964,5862,8576,0,0,0
(주)국순당,043650,2019/03,219672,13160,63098,20906,198766,10415,449,12759,5946,8141,0,0,0
(주)국순당,043650,2020/03,206372,6520,54243,12352,194020,9164,2452,11619,3880,7444,862108,0,158
(주)국순당,043650,2021/03,231555,12280,65859,19576,211979,9781,4010,14458,4499,7857,0,0,636
(주)국순당,043650,2022/03,246791,15282,73504,23492,223299,12195,3298,18760,5817,9632,0,0,291
(주)국영지앤엠,006050,2011/03,44872,10471,20303,11672,33200,1480,-1410,8729,1021,8717,357686,0,0
(주)국영지앤엠,006050,2012/03,60275,11539,19673,18234,42041,1707,2072,11749,529,11866,188903,0,81
(주)국영지앤엠,006050,2013/03,58864,6390,20193,14397,44467,1655,-925,10961,478,11663,51581,0,161
(주)국영지앤엠,006050,2014/03,62882,12240,24592,16138,46744,1793,199,12968,379,12333,318586,0,144
(주)국영지앤엠,006050,2015/03,54913,5127,18521,7825,47087,1691,-19,9047,367,8962,390541,0,23
(주)국영지앤엠,006050,2016/03,61645,9785,25846,12705,48939,2283,-33,9992,597,9463,651169,0,16
(주)국영지앤엠,006050,2017/03,62973,9659,27021,12909,50064,1807,-494,15600,435,15863,692489,0,20
(주)국영지앤엠,006050,2018/03,61627,8258,25804,10058,51569,2848,-534,16762,539,16930,669258,0,15
