회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,당기순이익,매출액,판매비와 관리비,매출원가,매입채무,금융원가
(주)프로텍,53610,2019/12,232523.0,23267.0,148503.0,24932.0,207591.0,19061.0,37116.0,179775.0,19756.0,114013.0,2683.894,101.0
(주)프로텍,53610,2020/12,227452.0,18724.0,127873.0,20729.0,206723.0,27512.0,11435.0,86504.0,13692.0,57417.0,6002.17,3095.0
(주)프로텍,53610,2021/12,285629.0,33108.0,176526.0,34564.0,251065.0,44488.0,47167.0,173997.0,17941.0,105723.0,7358.552,96.0
(주)프로텍,53610,2022/12,347498.0,40356.0,214363.0,42957.0,304541.0,50156.0,43513.0,198772.0,18327.0,120378.0,6570.993,384.0
(주)프롬바이오,377220,2021/12,96414.0,11646.0,71717.0,11987.0,84427.0,20932.0,11282.0,135103.0,90680.0,32999.0,4272.921,102.0
(주)프롬바이오,377220,2022/12,93823.0,6428.0,53560.0,6811.0,87013.0,22073.0,3241.0,99330.0,68412.0,30022.0,2108.497,98.0
(주)프리엠스,53160,2011/12,33397.0,4632.0,18968.0,6063.0,27334.0,1526.0,2206.0,32744.0,4874.0,25022.0,3190.409,737.0
(주)프리엠스,53160,2012/12,35649.0,4522.0,20516.0,5632.0,30016.0,1576.0,3062.0,38574.0,6409.0,29011.0,2381.792,182.0
(주)프리엠스,53160,2013/12,36565.0,3177.0,20294.0,4001.0,32564.0,1573.0,2648.0,35190.0,6576.0,25939.0,1326.426,77.0
(주)프리엠스,53160,2014/12,37766.0,2978.0,22510.0,3630.0,34136.0,1779.0,2115.0,29939.0,6167.0,21757.0,1530.43,49.0
(주)프리엠스,53160,2015/12,38212.0,2058.0,24153.0,2652.0,35560.0,1047.0,1690.0,24541.0,5748.0,17373.0,1159.756,37.0
(주)프리엠스,53160,2016/12,47006.0,4253.0,37075.0,4858.0,42148.0,1019.0,1642.0,20251.0,3467.0,16080.0,2161.419,36.0
(주)프리엠스,53160,2017/12,47529.0,3421.0,37390.0,4218.0,43311.0,2184.0,1138.0,28664.0,3694.0,23641.0,2270.148,26.0
(주)프리엠스,53160,2018/12,48551.0,2258.0,38637.0,3185.0,45366.0,2135.0,2306.0,27277.0,3969.0,21831.0,1187.797,28.0
(주)프리엠스,53160,2019/12,48324.0,1965.0,39024.0,2833.0,45491.0,1970.0,541.0,18444.0,3759.0,15118.0,921.145,4.0
(주)프리엠스,53160,2020/12,53001.0,2323.0,36228.0,4290.0,48711.0,3149.0,116.0,18391.0,4338.0,14491.0,1314.612,47.0
(주)프리엠스,53160,2021/12,64055.0,4807.0,46956.0,7040.0,57016.0,4807.0,1216.0,25197.0,4947.0,19445.0,1845.625,35.0
(주)프리엠스,53160,2022/12,63549.0,3877.0,42039.0,5856.0,57694.0,6700.0,1338.0,29632.0,5287.0,23685.0,1555.554,242.0
(주)플라즈맵,405000,2022/12,36255.0,8563.0,16742.0,26885.0,9370.0,5162.0,-17681.0,13306.0,17857.0,12801.0,527.803,1414.0
(주)플래스크,41590,2011/12,32439.0,15060.0,23250.0,16095.0,16345.0,4373.0,4638.0,55955.0,5092.0,49048.0,4281.019,1101.0
(주)플래스크,41590,2012/12,36449.0,12402.0,22394.0,14802.0,21647.0,4408.0,5488.0,72602.0,5272.0,63808.0,6536.136,1720.0
(주)플래스크,41590,2013/12,58381.0,25184.0,41391.0,29646.0,28735.0,2076.0,1347.0,54525.0,5626.0,47071.0,2919.95,1687.0
(주)플래스크,41590,2014/12,54848.0,19583.0,20917.0,19824.0,35024.0,3823.0,2740.0,75066.0,6161.0,62762.0,3056.766,2685.0
(주)플래스크,41590,2015/12,120262.0,55694.0,30624.0,61136.0,59126.0,8208.0,-8096.0,44806.0,6800.0,43191.0,2098.775,4279.0
(주)플래스크,41590,2016/12,121047.0,67783.0,31368.0,73148.0,47899.0,8264.0,-23236.0,80725.0,18323.0,73789.0,5770.679,6993.0
(주)플래스크,41590,2017/12,151367.0,70838.0,50466.0,72877.0,78490.0,927.0,-10973.0,35808.0,3634.0,33127.0,2016.109,11599.0
(주)플래스크,41590,2018/12,164776.0,56321.0,21046.0,57679.0,107097.0,1027.0,-13220.0,34082.0,6889.0,31511.0,403.179,7011.0
(주)플래스크,41590,2019/12,146731.0,63283.0,18348.0,70045.0,76686.0,2723.0,-71341.0,18906.0,5911.0,16970.0,3656.921,14971.0
(주)플래스크,41590,2020/12,132612.0,43966.0,16037.0,50390.0,82222.0,429.0,-330.0,45768.0,6129.0,39012.0,3646.452,6046.0
(주)플래스크,41590,2021/12,104028.0,27283.0,17128.0,37259.0,66769.0,483.0,-19666.0,24071.0,7133.0,21183.0,1752.619,4442.0
(주)플래스크,41590,2022/12,122217.0,47078.0,46301.0,51900.0,70317.0,354.0,-22557.0,39672.0,17787.0,35406.0,1874.383,5789.0
(주)플래티어,367000,2021/12,52225.0,7610.0,40997.0,8716.0,43509.0,0.0,4174.0,41893.0,37750.0,0.0,270.344,246.0
(주)플래티어,367000,2022/12,56511.0,8462.0,35559.0,9393.0,47118.0,0.0,3965.0,49957.0,46772.0,0.0,0.0,502.0
(주)플랜티넷,75130,2011/12,63473.0,5903.0,48786.0,6152.0,57321.0,40.0,3284.0,21808.0,18043.0,0.0,469.828,163.0
(주)플랜티넷,75130,2012/12,78252.0,6477.0,32911.0,7229.0,71023.0,78.0,7149.0,25523.0,22524.0,0.0,779.424,182.0
(주)플랜티넷,75130,2013/12,82006.0,5716.0,37506.0,6262.0,75744.0,100.0,4897.0,28453.0,24924.0,0.0,964.918,118.0
(주)플랜티넷,75130,2014/12,79187.0,5586.0,30805.0,6059.0,73128.0,42.0,518.0,23340.0,21765.0,0.0,942.405,202.0
(주)플랜티넷,75130,2015/12,83720.0,6565.0,34388.0,7948.0,75772.0,74.0,1611.0,24831.0,22175.0,0.0,822.303,87.0
(주)플랜티넷,75130,2016/12,82951.0,6026.0,33685.0,6515.0,76436.0,314.0,2614.0,27805.0,23649.0,0.0,1003.624,62.0
(주)플랜티넷,75130,2017/12,81969.0,6453.0,33002.0,7334.0,74636.0,176.0,-945.0,22098.0,20936.0,0.0,943.88,53.0
(주)플랜티넷,75130,2018/12,81245.0,6792.0,31721.0,7509.0,73736.0,55.0,1328.0,23236.0,20299.0,0.0,1219.54,681.0
(주)플랜티넷,75130,2019/12,83299.0,6657.0,30898.0,7778.0,75520.0,93.0,2367.0,23557.0,20807.0,0.0,1377.47,53.0
(주)플랜티넷,75130,2020/12,82121.0,7180.0,28526.0,8287.0,73834.0,92.0,1006.0,24016.0,22566.0,0.0,1722.994,53.0
(주)플랜티넷,75130,2021/12,94172.0,9268.0,35498.0,12463.0,81709.0,261.0,5985.0,28556.0,27976.0,0.0,2722.222,-40.0
(주)플랜티넷,75130,2022/12,91400.0,10866.0,42136.0,14045.0,77355.0,1919.0,-1558.0,31926.0,30921.0,0.0,3268.809,-18.0
(주)플레이디,237820,2020/12,119883.0,40401.0,98193.0,49449.0,70435.0,297.0,1488.0,29306.0,28057.0,149.0,0.0,151.0
(주)플레이디,237820,2021/12,141799.0,57236.0,115922.0,67746.0,74053.0,342.0,2964.0,34680.0,30652.0,690.0,0.0,302.0
(주)플레이디,237820,2022/12,162643.0,77663.0,139040.0,83621.0,79022.0,635.0,4953.0,43952.0,37701.0,654.0,0.0,310.0
